node_count, connection_count, accuracy
5,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
5,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
5,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
5,5,100.0
5,5,100.0
5,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
5,5,100.0
5,5,100.0
5,5,100.0
5,5,100.0
5,5,100.0
5,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
